row_index,predicted_prob,actual_treatment,actual_visit,actual_conversion
4786,0.8509890613681932,1,0,0
5040,0.8504550308444495,1,0,0
11866,0.846469430647085,1,1,0
12122,0.8442028613810054,1,0,0
7700,0.8422338747170814,1,0,0
9718,0.8305243359758336,1,0,0
5641,0.829979333551662,1,1,0
1082,0.8273773957876872,1,0,0
11614,0.8251307749970636,0,0,0
12378,0.8242528588701582,1,1,0
5001,0.8230890238802084,1,0,0
4843,0.8223439821195659,1,0,0
5956,0.820522314241016,0,1,0
9405,0.8170286247865277,1,0,0
5073,0.8154536033437779,1,1,0
3216,0.8132627755927797,1,0,0
3013,0.8126749869313841,1,0,0
4862,0.8108705164802572,1,1,0
9351,0.8087431223334908,1,1,0
673,0.8082144376636227,1,0,0
4428,0.8082144376636227,1,1,0
6695,0.8063467467075517,1,0,0
8358,0.804426186180091,1,0,0
7293,0.8009288675983411,0,1,0
2066,0.8004136541710308,1,0,0
12077,0.7993388966728452,1,0,0
4097,0.7963182724124697,1,0,0
7124,0.795578555891064,1,0,0
157,0.795578555891064,1,1,0
5038,0.7947580885773481,0,0,0
11122,0.794271946749338,0,0,0
1676,0.7924408618084827,1,0,0
1915,0.788266506651797,0,1,0
8050,0.7880758714800224,1,0,0
12177,0.7874226704481713,0,0,0
3231,0.786323320579195,1,0,0
3959,0.7820443946020906,0,1,0
12791,0.7811702573504347,1,1,0
2948,0.778506978004646,1,1,0
10049,0.7768911578259937,0,0,0
410,0.7759930875847777,1,0,0
1946,0.7752968764593702,1,0,0
1469,0.7750329054869046,1,1,0
1156,0.7747890883928855,0,1,0
6704,0.7747890883928855,1,0,0
44,0.7747890883928855,0,1,0
4326,0.7743547878563931,1,0,0
6476,0.7741955956083347,0,0,0
11121,0.7738620112263749,0,0,0
8786,0.7730415247563691,0,0,0
2564,0.7728805721142843,0,0,0
2367,0.7717641290083677,1,0,0
11959,0.7717641290083677,1,0,0
1427,0.7717641290083677,1,0,0
10745,0.771338935197762,1,0,0
405,0.7709690024138858,1,0,0
8876,0.7688125070293405,0,0,0
11125,0.7679822933785637,1,0,0
8544,0.7665899389441556,0,0,0
7028,0.765751065733324,1,0,0
8418,0.7656260892739124,1,0,0
4108,0.7648181881310236,1,0,0
3729,0.7647983167278806,1,1,0
4885,0.7643429298433291,1,1,0
1210,0.7642035555512795,0,0,0
11188,0.7640937961087989,0,0,0
975,0.7639925247558725,0,0,0
11558,0.7634413860882241,0,0,0
9404,0.7634413860882241,1,0,0
9899,0.7626946265079119,0,0,0
5523,0.7626779810872416,1,0,0
3738,0.7624889409103447,1,0,0
4198,0.7623903354402504,0,1,0
1565,0.7620186612579022,1,1,0
10875,0.7618388966459126,1,0,0
8773,0.7615473434635557,1,0,0
7066,0.7594235086886203,0,0,0
6908,0.7591685873405168,1,0,0
9876,0.7585806703253968,1,1,0
929,0.7576977170318152,1,0,0
3428,0.7572520501942576,0,0,0
9231,0.7565812277586862,1,1,0
10915,0.7563162848116578,1,0,0
5803,0.7558974710925273,1,0,0
8920,0.7557353314307795,1,0,0
669,0.7552721565941315,1,0,0
3564,0.754896420329122,0,1,0
11065,0.754896420329122,1,0,0
8703,0.754896420329122,0,0,0
6010,0.7548100704809914,1,0,0
5221,0.7542766276178433,1,1,0
6088,0.7540853363955383,1,0,0
2022,0.7540853363955383,0,0,0
4493,0.7540344289734459,0,1,0
8220,0.7539902725998947,1,1,0
1670,0.7535801770428356,1,0,0
7463,0.7521803008749471,1,1,0
6835,0.7521803008749471,1,1,0
12697,0.7505001950255284,1,0,0
5909,0.7505001950255284,1,1,0
9435,0.7499076947639777,0,1,1
759,0.7493320182987593,0,0,0
9151,0.7490464119693959,0,0,0
1145,0.7487073835264593,0,0,0
2170,0.7478187307950135,0,0,0
8752,0.7475805972863843,1,0,0
11661,0.7470848821673663,1,1,0
8822,0.7461656232525679,0,0,0
3093,0.7454316279791353,1,0,0
6174,0.7454316279791353,1,1,0
9131,0.7451977622590296,0,0,0
10789,0.7451201393506135,1,0,0
684,0.744771368311408,0,0,0
3557,0.7442841705501022,1,1,0
7643,0.744145117761475,1,0,0
7717,0.7440829042961776,1,0,0
6518,0.7440737063467564,1,1,0
9962,0.7435488263919514,0,0,0
2957,0.7434193257382803,1,0,0
6275,0.7430442716709496,1,0,0
3022,0.7430442716709496,1,1,0
10335,0.742607601898285,1,0,0
9673,0.7425329590875072,0,0,0
1777,0.7421311502843785,1,0,0
9425,0.7402755518363837,1,0,0
11215,0.7399031652965011,0,0,0
2512,0.7397533217243684,0,0,0
2749,0.7394743954024352,1,0,0
4621,0.7392583292301698,0,1,0
116,0.7388388999047097,1,0,0
526,0.7388061227718552,1,0,0
9729,0.7385117387728479,1,1,0
12294,0.7372477263229708,0,1,0
3289,0.7372477263229708,1,0,0
11776,0.7372477263229708,1,1,0
9009,0.7357770291201616,0,0,0
5866,0.735660299144895,1,0,0
1949,0.7352516420677733,1,0,0
2631,0.7352516420677733,1,0,0
8048,0.7349289904190534,0,0,0
12798,0.7348524389556395,0,1,0
5296,0.7348524389556395,1,0,0
2771,0.7343672759080577,1,0,0
8506,0.734043731655178,1,0,0
11826,0.7337812366893924,1,1,1
5115,0.7334480964914639,1,0,0
342,0.7322323649074806,1,0,0
7719,0.7316962537414647,1,1,0
3775,0.7315168377975714,1,0,0
4386,0.7315049694948311,0,0,0
4699,0.7314708367290246,0,0,0
1018,0.7307445770744335,1,0,0
447,0.7307445770744335,1,0,0
6135,0.7306149475963496,1,0,0
11480,0.7304140765643413,0,0,0
10583,0.7302361079193348,1,0,0
886,0.7300913087932209,1,0,0
8580,0.7294023190195355,0,1,0
3521,0.7292159055056601,1,0,0
10116,0.7291974994798628,1,0,0
10351,0.7291258311379725,1,0,0
518,0.7290681353026879,0,1,0
11708,0.7289006142745382,0,0,0
3830,0.7285104863797042,1,0,0
915,0.7280922111379688,1,0,0
9766,0.7280344616039645,1,0,0
11114,0.7280344616039645,1,1,0
9976,0.7278816279311909,0,0,0
406,0.7275541808489878,1,0,0
1542,0.7274280284555749,1,0,0
9653,0.7264948505112967,1,0,0
5392,0.7264948505112967,1,0,0
5479,0.7262896700918995,1,0,0
4905,0.7262079574563072,0,1,0
6104,0.7262068927376856,0,1,0
1855,0.7258694755514232,0,0,0
7559,0.7248885797548376,1,1,0
5577,0.7248885797548376,0,0,0
4897,0.7247789052060168,1,1,0
8631,0.724551365111208,1,0,0
5881,0.7242727687108961,1,1,0
9648,0.7240487444970486,0,0,0
1651,0.723982647775336,0,0,0
12415,0.7235679398468563,1,0,0
1264,0.7234037813396678,0,0,0
12114,0.7234037813396678,1,0,0
2222,0.7230790978672964,1,0,0
2682,0.7229365871336938,1,0,0
1415,0.7228856990696895,0,0,0
1021,0.7228856990696895,1,0,0
1212,0.7226026542382248,1,0,0
2858,0.722515602388928,1,0,0
2837,0.722515602388928,0,0,0
3604,0.7224729878831933,1,0,0
7925,0.7224578971710229,1,0,0
477,0.7223837245099851,1,0,0
10465,0.7219697607410017,1,1,0
2319,0.7219697607410017,1,0,0
7266,0.721684285758123,1,1,0
1923,0.7216742984078327,0,0,0
7020,0.7216463307974219,1,0,0
1650,0.7214624396714123,1,1,1
5388,0.7210616675979571,0,0,0
8217,0.7205470144954071,0,0,0
7813,0.7205470144954071,0,0,0
966,0.7200716996471056,1,0,0
7752,0.7195882646350553,0,0,0
5531,0.7194771107044816,1,1,0
3825,0.7190320066112007,1,0,0
354,0.7190306945367051,1,0,0
11227,0.7190023586471508,0,1,0
6839,0.7189705639214237,1,0,0
11206,0.718802650854968,1,0,0
3650,0.718802650854968,1,0,0
12504,0.718802650854968,0,0,0
8725,0.7187667743584669,1,0,0
1441,0.7186699354462864,1,1,0
3450,0.7184484516212857,0,0,0
9787,0.7184484516212857,0,0,0
9941,0.7183969011141427,0,0,0
5098,0.7183225453873096,1,0,0
1632,0.7182027792638995,1,0,0
11314,0.7182027792638995,0,0,0
9274,0.7181410443259713,0,0,0
1336,0.7180032079405161,1,0,0
3255,0.7179561483488388,1,0,0
9384,0.7179561483488388,1,0,0
2692,0.7176161747535604,1,0,0
8128,0.7167712414464303,0,0,0
542,0.7166228169428707,1,1,0
12747,0.7165366459445941,1,0,0
7204,0.7164080618842611,1,1,0
2208,0.7163558588015685,1,0,0
2276,0.7160981802196913,0,0,0
11704,0.7155578270342409,0,0,0
10633,0.7155578270342409,1,1,0
7822,0.7151105889183839,0,0,0
7904,0.7146720869300858,1,0,0
12152,0.7144975707113939,1,1,0
6769,0.7142215483833508,1,0,0
12085,0.7141398715344743,1,0,0
11534,0.7141112799994603,1,0,0
11361,0.7140444387437573,1,0,0
7183,0.7137517082859305,1,0,0
2177,0.7136742958629428,0,0,0
1406,0.7136742958629428,1,0,0
1862,0.7136742958629428,0,0,0
6028,0.7136203384007613,1,0,0
6007,0.7135868508266864,0,0,0
8992,0.7135719959509303,1,0,0
10067,0.7132245159458904,1,1,0
8162,0.7132245159458904,1,0,0
948,0.7130978510211619,1,0,0
8932,0.7130395213664985,1,0,0
5941,0.7125823555644344,1,0,0
1942,0.7117907557487638,1,0,0
6231,0.7117907557487638,1,0,0
2288,0.7117834676507591,1,0,0
891,0.7117611951353903,1,1,0
12084,0.7114218236057057,1,0,0
7494,0.7114218236057057,1,0,0
8238,0.7114218236057057,1,1,0
11613,0.7113850274410795,1,0,0
313,0.7112148410217614,0,0,0
7571,0.7104897254118048,0,0,0
6868,0.710087353754369,1,0,0
9837,0.7099428206846222,1,0,0
2392,0.7097892751168527,1,1,0
4405,0.7093785691831702,1,0,0
2548,0.7091986740570115,1,1,0
10456,0.7091478942491954,1,0,0
9810,0.7091329662878538,1,0,0
5230,0.7088157895359091,1,0,0
6626,0.7087724926138914,1,1,0
11506,0.7087449709833542,1,0,0
