row_index,actual_treatment,actual_visit,actual_conversion,uplift_two_model,uplift_class_transform,uplift_causal_forest,baseline_predicted_prob
0,0,0,0,0.19940807257992121,-0.19984197559173322,0.07037619902045918,0.4138395972984793
1,1,0,0,0.08598767641475935,-0.12312384226100936,0.06213803849500383,0.5855783402708102
2,0,1,1,-0.14115689233493744,-0.21889198684832112,0.04214695445986154,0.5070567015825244
3,1,0,0,0.21301123729858823,-0.2765582321207374,0.06864779887662874,0.2088464151160079
4,0,0,0,0.412646483577183,-0.07072771530098942,0.14976890274675264,0.4976511506621822
5,1,0,0,0.16728318615927004,-0.15730596154509802,0.08487379349019285,0.4304638881833702
6,0,0,0,0.21422895258955138,-0.06995879695012863,0.04121971109031978,0.4114770534987803
7,1,0,0,0.10889421293687945,-0.31712423847899673,0.05369022264457844,0.3439241034095281
8,0,0,0,-0.0005296218842149591,-0.33247760156762673,0.05521307066036685,0.3341806396390026
9,1,0,0,0.020640587280240208,-0.11762644720847049,0.0960591933878968,0.5829984436333745
10,1,0,0,0.015915647567706026,-0.2439354873186359,0.013160478496774024,0.3257060115160034
11,1,0,0,-0.171927597188264,-0.42405510172412963,0.06232389153743724,0.6240674666216102
12,0,0,0,0.03560476641257826,-0.02936721017139532,0.08433354683099172,0.6898174747594658
13,1,0,0,0.3103002526679228,-0.048801576062447505,0.06640029914097607,0.6146741487372669
14,1,0,0,0.04911730392595326,-0.1473850038892468,0.12562362754006764,0.4480295396589631
15,1,0,0,0.17913142465405685,-0.08459937570640708,0.11015028500877551,0.3067053800873366
16,1,0,0,0.27797146952918045,-0.041495158607416815,0.1700862458934213,0.6326008347528523
17,0,0,0,0.12860893090879116,-0.23036573691675455,0.10191019228071434,0.1298546631805936
18,1,0,0,-0.09355161678769935,-0.21444469771472086,0.06811109777561627,0.3443701185296974
19,1,0,0,0.42349507504780554,-0.00798889056264207,0.11177989322193171,0.6796026546263177
20,0,0,0,0.0454433612729809,-0.22449400090965987,-0.05736075627730411,0.2116515198227326
21,0,0,0,-0.06319830690354467,-0.09342509971422708,0.1043684780800211,0.6655463884088269
22,1,0,0,-0.08884240544543276,-0.35878897072463445,0.04736679039090911,0.3674700852919051
23,1,0,0,-0.03501047890405007,-0.20410667357567291,0.0040093351018980405,0.5620254529027366
24,1,0,0,0.03381449897306987,-0.279037093746737,0.054350250599010254,0.389456352680686
25,1,0,0,0.09412024655123147,-0.22264826499568557,0.06553928315833299,0.3601957282991784
26,0,0,0,-0.06364533271822137,-0.026971518971428243,0.10745618469459974,0.6812271509911931
27,0,0,0,-0.06529655171176763,-0.13824660795392885,0.09256824416542381,0.4673123138004925
28,1,0,0,0.1513527154584946,-0.19659941730723562,0.0834644374533004,0.1867723686728786
29,1,0,0,0.09711759751414667,-0.05691165177636426,0.04185341716141032,0.3936079111099481
30,1,0,0,-0.07952405163714893,-0.24036288617761992,0.04902822274973365,0.5205390179231494
31,1,0,0,0.0873931693571044,-0.1896210269104316,0.0513865475201001,0.470505774217925
32,1,0,0,-0.0020597357897680357,-0.15699964183399195,0.12325675389834816,0.6702393908840585
33,0,1,0,0.03668535806107193,-0.32494615639759705,0.016602791521310008,0.3544755296372116
34,1,0,0,0.3488123468912737,-0.11911074757758033,0.1476813226281703,0.5821746688746966
35,1,0,0,0.21702282879178728,-0.23030456545833056,0.09256161597491173,0.2860605205177078
36,1,1,1,0.37451257326019544,-0.2414525206559911,0.09325795009324453,0.3265742395508121
37,1,1,0,0.26864247468930796,-0.041396447904847755,0.08785071823015522,0.5445242736874012
38,1,0,0,-0.015826217367942097,-0.16051754012994623,0.04403199265010198,0.5430207166491718
39,1,0,0,0.3732573433777903,-0.13526362056240937,0.04443968375655105,0.3239263133612426
40,1,1,0,0.05586235207159773,-0.24173597227598254,0.050721483936824914,0.5252169118224983
41,1,0,0,0.033151686219873966,-0.08710367113986295,0.11171175567774502,0.6440214935149997
42,1,0,0,0.22615371573734816,-0.3260189582566331,0.04062932146028133,0.1773059216050376
43,0,0,0,-0.1627763760082278,-0.20867684899104855,0.06233909033451435,0.5055671536491343
44,0,1,0,0.07769053002836301,0.1476685299436995,0.09777990723345394,0.7747890883928855
45,1,0,0,-0.27468407849397913,-0.19847247640654386,-0.017091166559330854,0.4922700028211503
46,1,0,0,0.16159187824855076,-0.20072617866756814,0.15595456058725457,0.5731997761625567
47,0,0,0,-0.01195859798761506,-0.28513234728324477,0.06368454507793113,0.3282728701349605
48,1,0,0,-0.3108859931847621,-0.35871287256502526,0.06863723546895874,0.4280166648984817
49,1,0,0,-0.19553413230976835,-0.3892926640899127,-0.02983217943989192,0.3514037735608314
50,1,1,0,0.04059451872816555,-0.07132091764329995,0.0717980353659993,0.5834111182455578
51,0,0,0,0.07855362105403707,-0.17841224945772705,0.004485155309022245,0.3603691533382899
52,1,0,0,-0.12367455148295331,-0.24391097112682703,-0.014481909969086926,0.2443380357624361
53,0,0,0,-0.09095753241709975,-0.24340131358309247,0.044664879100854434,0.5040825408533165
54,1,1,0,0.2181831421958079,-0.14543021532493106,0.06236587931841198,0.4062558977968726
55,1,0,0,0.18607323592266223,-0.2366940378620105,0.0808344475889069,0.528364241062869
56,0,0,0,0.25120825717646567,-0.1143787163905744,0.11543053040678761,0.3657512800754921
57,0,0,0,0.21147171491076866,0.18235559711163707,0.08571936212021347,0.6553106572903815
58,0,0,0,0.21442741167628274,-0.18443953800350077,0.018294369489870815,0.2919123793571647
59,1,0,0,0.04808622255840528,-0.2821736585685065,0.03889758047698195,0.3881386038584645
60,1,0,0,0.29104696565185323,-0.008845400722547248,0.14077245748421538,0.5518595664297747
61,1,0,0,0.17664493015936517,0.025425533949888335,0.10192708976010097,0.5331633052226297
62,1,0,0,0.04018138652862724,-0.27414606576823863,0.04255324081470586,0.301871256038637
63,1,0,0,0.15685674534706084,-0.4753347433430746,0.021833297410580255,0.4559061648052058
64,1,0,0,0.4051170077847196,0.049093811885650984,0.19302728477379952,0.6771171489686246
65,1,0,0,0.1101271213484738,-0.08895013093958926,0.04783317085009858,0.5979564792809852
66,1,1,0,0.14247359139330149,-0.26784371792063155,0.11858188957509212,0.3702125605013612
67,1,0,0,-0.07341724825561269,-0.13625583763916171,0.007221531996521016,0.5783958310991452
68,0,0,0,0.22370149701531195,-0.21040542073815538,-0.013481609620956105,0.4035590019275584
69,1,0,0,0.08150112099051393,-0.16621215426454072,0.11131129301116192,0.556747790094862
70,1,0,0,-0.13875260557872932,-0.14096862187693748,0.007348439267731415,0.4429440897394097
71,1,0,0,0.09549683983993842,-0.34417412375988576,0.10396955584899906,0.3464192711110963
72,1,0,0,0.16353038032432352,-0.11656610901347153,0.08822355087883711,0.2114493946304876
73,1,0,0,-0.21723736690104573,-0.196231728471697,-0.03365001593390467,0.4704208412740265
74,0,0,0,0.43416578908775166,0.14036316267200366,0.20236443546116992,0.6978695699539095
75,1,0,0,0.12487919452113783,-0.14410263232451115,0.09045463265777556,0.603197567646226
76,0,1,0,-0.15526167350714265,-0.2091346377484784,0.06770623193819433,0.5267460657333634
77,0,0,0,0.0960555932909013,0.1335621065932584,0.12123366641928916,0.5686294450053454
78,1,0,0,0.1960577360869247,-0.28668104665018324,0.06575088740862257,0.3944576544954397
79,0,0,0,0.11461076817842077,-0.2537357737065524,0.05735393576741413,0.236146942478846
80,0,0,0,0.033647064715493724,-0.14368417621388796,0.10476169913275317,0.521424245456551
81,0,0,0,0.07279099045059195,-0.29210923090575636,0.056666023669542896,0.2676038682641042
82,1,0,0,-0.07920744725405862,-0.3129307304879594,0.018825708016704756,0.2273166505843065
83,1,1,0,0.018318854844746713,-0.18045007254042567,0.026012093992271595,0.3542520831428421
84,1,0,0,0.04327936888599215,-0.27140444167879296,0.032558010793326264,0.4228899417892187
85,1,0,0,-0.052153598009572255,-0.0698935232405189,0.08425469971753911,0.5460441628009237
86,1,0,0,-0.020228207387969876,-0.16889622224167078,0.08530004256481516,0.4205686558159641
87,0,0,0,-0.07344212009948747,-0.23392873403083525,-1.1758815081070764e-05,0.5401458154141096
88,0,0,0,-0.05847115255075647,-0.2642228457139635,0.05573607697598113,0.4160646093758648
89,1,0,0,-0.016398252206726083,-0.31961696710304754,0.08085040472071064,0.4971969243813139
90,1,0,0,0.04678901395876356,-0.33888215823368406,0.014542240279162195,0.353439401156489
91,0,0,0,0.22335330711547938,-0.07560879575983748,0.063621539395882,0.3526843582474769
92,0,1,0,-0.18457109098293356,-0.10820727077928938,0.05460333714154654,0.5051278880475977
93,1,1,0,0.1669446492172013,-0.2778517570692677,0.0773851018229337,0.4251511013397289
94,0,0,0,0.29072741330645174,-0.12659695050776942,0.15147072017164526,0.6139355807195535
95,1,0,0,-0.046708658957011595,-0.2885764395523759,0.05443335413659328,0.4773551771898921
96,0,0,0,0.3132775967657142,-0.22013171185474456,0.09853471128002415,0.2850869230717048
97,1,0,0,0.16800742526581702,-0.34864070317037565,0.031244098461966175,0.4539934183821493
98,1,0,0,0.03501054411800031,-0.21125840144429098,0.07891398460479285,0.3900947034640341
