row_index,actual_treatment,actual_visit,actual_conversion,uplift_two_model,uplift_class_transform,uplift_causal_forest,baseline_predicted_prob,uplift_class_transform_weighted
0,0,0,0,0.1994080725799212,-0.1998419755917332,0.0703761990204591,0.4138395972984793,0.04114483405937963
1,1,0,0,0.0859876764147593,-0.1231238422610093,0.0621380384950038,0.5855783402708102,0.10605682473975664
2,0,1,1,-0.1411568923349374,-0.2188919868483211,0.0421469544598615,0.5070567015825244,-0.014030984259348345
3,1,0,0,0.2130112372985882,-0.2765582321207374,0.0686477988766287,0.2088464151160079,0.028154963515848896
4,0,0,0,0.412646483577183,-0.0707277153009894,0.1497689027467526,0.4976511506621822,0.16410935053159337
5,1,0,0,0.16728318615927,-0.157305961545098,0.0848737934901928,0.4304638881833702,0.16015697549269436
6,0,0,0,0.2142289525895513,-0.0699587969501286,0.0412197110903197,0.4114770534987803,0.2898924109147525
7,1,0,0,0.1088942129368794,-0.3171242384789967,0.0536902226445784,0.3439241034095281,0.05161572453701835
8,0,0,0,-0.0005296218842149,-0.3324776015676267,0.0552130706603668,0.3341806396390026,-0.22960592186627593
9,1,0,0,0.0206405872802402,-0.1176264472084704,0.0960591933878968,0.5829984436333745,0.08452941931414348
10,1,0,0,0.015915647567706,-0.2439354873186359,0.013160478496774,0.3257060115160034,0.05556989353676656
11,1,0,0,-0.171927597188264,-0.4240551017241296,0.0623238915374372,0.6240674666216102,-0.14917467238941873
12,0,0,0,0.0356047664125782,-0.0293672101713953,0.0843335468309917,0.6898174747594658,0.07759594707409545
13,1,0,0,0.3103002526679228,-0.0488015760624475,0.066400299140976,0.6146741487372669,0.09962714984416321
14,1,0,0,0.0491173039259532,-0.1473850038892468,0.1256236275400676,0.4480295396589631,0.07995013659585282
15,1,0,0,0.1791314246540568,-0.084599375706407,0.1101502850087754,0.3067053800873366,0.16948193264068023
16,1,0,0,0.2779714695291804,-0.0414951586074168,0.1700862458934213,0.6326008347528523,0.19476152885422393
17,0,0,0,0.1286089309087911,-0.2303657369167545,0.1019101922807143,0.1298546631805936,0.09293180583097138
18,1,0,0,-0.0935516167876993,-0.2144446977147208,0.0681110977756162,0.3443701185296974,0.12239199930283085
19,1,0,0,0.4234950750478055,-0.007988890562642,0.1117798932219317,0.6796026546263177,0.17232841018932343
20,0,0,0,0.0454433612729809,-0.2244940009096598,-0.057360756277304,0.2116515198227326,0.006259365483473278
21,0,0,0,-0.0631983069035446,-0.093425099714227,0.1043684780800211,0.6655463884088269,0.13042828180459876
22,1,0,0,-0.0888424054454327,-0.3587889707246344,0.047366790390909,0.3674700852919051,-0.09696691361597842
23,1,0,0,-0.03501047890405,-0.2041066735756729,0.004009335101898,0.5620254529027366,0.0061909156953283695
24,1,0,0,0.0338144989730698,-0.279037093746737,0.0543502505990102,0.389456352680686,0.013312039453056146
25,1,0,0,0.0941202465512314,-0.2226482649956855,0.0655392831583329,0.3601957282991784,0.053652628667997915
